,alpha,beta,loss,x,y
621,-0.65,-0.2,3.6905134834289552,-54.28159713745117,-21.66064453125
622,-0.65,-0.15,3.6028043090820314,-54.10662841796875,-17.358047485351562
623,-0.65,-0.1,3.7097087633132935,-53.826499938964844,-13.107612609863281
624,-0.65,-0.05,4.1276783130645756,-53.44584655761719,-8.928754806518555
625,-0.65,0.0,4.943265053939819,-52.96989440917969,-4.839330673217773
626,-0.65,0.05,6.469801273727417,-52.405670166015625,-0.8550726175308228
627,-0.65,0.1,8.736839018249512,-51.760826110839844,3.010404586791992
628,-0.65,0.15,11.420425457763672,-51.043094635009766,6.745853424072266
629,-0.65,0.2,13.759252840423583,-50.261417388916016,10.342493057250977
630,-0.65,0.25,15.889590417480468,-49.424129486083984,13.79364013671875
631,-0.65,0.3,18.6716056060791,-48.539710998535156,17.095075607299805
632,-0.65,0.35,21.939825253295897,-47.61646270751953,20.244529724121094
633,-0.65,0.4,26.14759587097168,-46.6622314453125,23.241310119628906
634,-0.65,0.45,31.058667959594725,-45.684417724609375,26.086715698242188
635,-0.65,0.5,37.5063767578125,-44.68973159790039,28.782928466796875
636,-0.65,0.55,45.56537421569824,-43.684417724609375,31.33367919921875
637,-0.65,0.6,54.823935870361325,-42.67394256591797,33.743309020996094
638,-0.65,0.65,64.91819388427734,-41.66314697265625,36.01679611206055
639,-0.65,0.7,76.12440325317382,-40.65625762939453,38.1597900390625
640,-0.65,0.75,88.68313500366212,-39.657188415527344,40.17809295654297
641,-0.65,0.8,103.35769411010742,-38.668853759765625,42.077911376953125
642,-0.65,0.85,120.31032536010743,-37.69395446777344,43.865150451660156
643,-0.65,0.9,139.641305078125,-36.73472595214844,45.54607391357422
644,-0.65,0.95,161.28672811279296,-35.792869567871094,47.12688446044922
645,-0.65,1.0,184.9658213623047,-34.86992645263672,48.61318588256836
646,-0.65,1.05,210.56329117431642,-33.966835021972656,50.01085662841797
647,-0.65,1.1,237.26021671142578,-33.084381103515625,51.32521057128906
648,-0.65,1.15,264.29270913085935,-32.22329330444336,52.5616569519043
