,alpha,beta,loss
87,2,27,0.005539041949459351
88,2,28,0.00652927879197523
89,2,29,0.007733086263015866
90,3,0,0.005538853018125519
91,3,1,0.004965005846275017
92,3,2,0.004485412792908028
93,3,3,0.00407817655998515
94,3,4,0.003733379256154876
95,3,5,0.00343782503354887
96,3,6,0.0031816023413499353
97,3,7,0.002961102483209106
98,3,8,0.002769118414647528
99,3,9,0.0026040026715170826
100,3,10,0.0024651671565283323
101,3,11,0.002352234286814928
102,3,12,0.002261820570737473
103,3,13,0.0021937604873994133
104,3,14,0.002148682371355244
105,3,15,0.0021236708897195058
106,3,16,0.0021175199351491755
107,3,17,0.002130092941819021
108,3,18,0.00216227844286841
109,3,19,0.0022183773462726092
110,3,20,0.002309076660015853
111,3,21,0.0024447602281405124
112,3,22,0.0026468401325211743
113,3,23,0.00292578545215074
114,3,24,0.003299860295385588
115,3,25,0.0037783413483179176
116,3,26,0.004378400532854721
117,3,27,0.005124172688135877
118,3,28,0.006039562166668475
119,3,29,0.007152468255069107
120,4,0,0.005401993563352153
121,4,1,0.004841431755735539
122,4,2,0.00436847003713483
123,4,3,0.00396498157895403
124,4,4,0.0036216848040057812
125,4,5,0.003327473977277987
126,4,6,0.0030730109652242392
127,4,7,0.002852458302938612
128,4,8,0.002661298246646766
129,4,9,0.00249545055043709
130,4,10,0.002355858130195702
131,4,11,0.0022418897390321943
132,4,12,0.002150750688572589
133,4,13,0.0020822368085500783
134,4,14,0.0020364764024634495
135,4,15,0.0020109808851470007
136,4,16,0.0020043193932709983
137,4,17,0.0020166724828610313
138,4,18,0.0020485137752228183
139,4,19,0.0021031541153788565
140,4,20,0.0021882862550352
141,4,21,0.002314149418134184
142,4,22,0.002495998517257976
143,4,23,0.0027479818300838814
144,4,24,0.0030876223287952596
145,4,25,0.003526286855444778
146,4,26,0.004079895527288318
147,4,27,0.004768080255365931
148,4,28,0.005617857912508771
149,4,29,0.006652320524491369
150,5,0,0.005275615247245878
151,5,1,0.0047283879726426675
152,5,2,0.0042621034746873196
153,5,3,0.00386370313516818
154,5,4,0.0035212502729089464
155,5,5,0.003229042066144757
156,5,6,0.002975673172151437
157,5,7,0.0027558772071730347
158,5,8,0.002565875507812598
159,5,9,0.0024003351966879563
160,5,10,0.0022599453710165107
161,5,11,0.0021448800066820694
162,5,12,0.0020551370356653932
163,5,13,0.00198617573412339
164,5,14,0.0019391010076884414
165,5,15,0.0019121693100008998
166,5,16,0.0019049056759133237
167,5,17,0.0019171007171535166
168,5,18,0.001948379738622316
169,5,19,0.002001882963049866
170,5,20,0.002083203121945553
171,5,21,0.0022016135187193867
172,5,22,0.002368988163750328
173,5,23,0.002600481423258316
174,5,24,0.00290997860878706
175,5,25,0.0033128991857753133
176,5,26,0.0038242568940971976
177,5,27,0.004463283652695827
178,5,28,0.00525524142109789
179,5,29,0.006220121617242694
180,6,0,0.005158570129750297
181,6,1,0.004623997696815058
182,6,2,0.004165334522444755
183,6,3,0.0037710215015686116
184,6,4,0.0034319540454423986
185,6,5,0.003140523577411659
186,6,6,0.0028878437595267316
187,6,7,0.0026695007223053835
188,6,8,0.0024812206961854827
189,6,9,0.002316863301486592
190,6,10,0.002176993705991481
191,6,11,0.00206164222433581
192,6,12,0.001971610118767421
193,6,13,0.00190305797385372
194,6,14,0.0018553546479961368
195,6,15,0.0018277511539476108
196,6,16,0.0018191698665330478
197,6,17,0.0018302980399450461
198,6,18,0.0018610473978114897
199,6,19,0.0019145448621529794
200,6,20,0.001993475061276695
201,6,21,0.002106505848301458
202,6,22,0.0022630659064525388
203,6,23,0.0024778801571461373
204,6,24,0.002762139792216476
205,6,25,0.0031344907353050076
206,6,26,0.003609413150080945
207,6,27,0.004205199859244749
208,6,28,0.00494493208443746
209,6,29,0.0058474594479426744
210,7,0,0.005053398441756144
