,communication_round,participant,loss,acc,norm
1013,91.0,1.0,7.283011313847133,0.8551020408163266,114.08808135986328
1014,91.0,2.0,4.370691256576704,0.9057017543859649,114.1265640258789
1015,91.0,3.0,4.342676167878242,0.8870716510903427,113.90992736816406
1016,91.0,4.0,4.186032884903536,0.8969465648854962,114.12945556640625
1017,91.0,5.0,5.181862989120935,0.8816568047337278,114.04102325439453
1018,91.0,6.0,3.2304526048154907,0.9095238095238095,113.93936920166016
1019,91.0,7.0,3.6060769304902114,0.896028880866426,113.94367980957031
1020,91.0,8.0,3.3037125797268727,0.9141184124918673,113.91527557373047
1021,91.0,9.0,4.798345228372994,0.882768361581921,114.10456085205078
1022,91,g,4.656725371773355,0.8935,114.10916137695312
1023,92.0,0.0,3.681388141869422,0.9046887009992314,114.02556610107422
1024,92.0,1.0,7.152312632969448,0.863265306122449,114.06553649902344
1025,92.0,2.0,4.587203621864319,0.8837719298245614,114.1050033569336
1026,92.0,3.0,4.331630369060322,0.8870716510903427,113.902587890625
1027,92.0,4.0,3.7581211192007284,0.9103053435114504,114.11045837402344
1028,92.0,5.0,4.712521841524149,0.8982248520710059,114.05113220214844
1029,92.0,6.0,3.2812181931470525,0.9095238095238095,113.91520690917969
1030,92.0,7.0,3.3713217153445907,0.9104693140794223,113.96490478515625
1031,92.0,8.0,3.2022328609836976,0.9089134677944047,113.92462921142578
1032,92.0,9.0,4.5582913409518655,0.8898305084745762,114.03780364990234
1033,92,g,4.5895210002986975,0.8941,114.09700775146484
1034,93.0,0.0,4.030676898666064,0.8954650269023828,113.99226379394531
1035,93.0,1.0,7.22299072109923,0.8571428571428571,114.04473114013672
1036,93.0,2.0,5.0181828193497235,0.875,114.08847045898438
1037,93.0,3.0,4.286511537813324,0.882398753894081,113.9000473022461
1038,93.0,4.0,4.220409382390612,0.9045801526717557,114.09113311767578
1039,93.0,5.0,4.646230028366902,0.8982248520710059,114.05303192138672
1040,93.0,6.0,3.1325437376034895,0.9129251700680272,113.99113464355469
1041,93.0,7.0,3.6064537697404013,0.9032490974729241,113.93089294433594
1042,93.0,8.0,3.401595420005962,0.9134677944046844,113.92591857910156
1043,93.0,9.0,4.469632892285363,0.882768361581921,114.04486846923828
1044,93,g,4.515811789235473,0.8956,114.08663177490234
1045,94.0,0.0,3.8137519895045413,0.9008455034588778,113.99252319335938
1046,94.0,1.0,7.469348544490581,0.8571428571428571,114.02668762207031
1047,94.0,2.0,4.169471700855515,0.9035087719298246,114.05397033691406
1048,94.0,3.0,4.092073246817792,0.8917445482866043,113.91119384765625
1049,94.0,4.0,3.98196599319691,0.9026717557251909,114.08074188232422
1050,94.0,5.0,4.912666807863751,0.8887573964497042,114.0401382446289
1051,94.0,6.0,3.3078293087125634,0.9081632653061225,113.95426940917969
1052,94.0,7.0,3.3140574370910976,0.9090252707581228,113.8724136352539
1053,94.0,8.0,3.2059988344326986,0.9173715029277814,113.93489837646484
1054,94.0,9.0,4.1402507030357745,0.8898305084745762,114.0593032836914
1055,94,g,4.434588510049566,0.897,114.07554626464844
1056,95.0,0.0,3.8557583868938807,0.9039200614911607,113.99275970458984
1057,95.0,1.0,6.202023013757199,0.8673469387755102,114.01020812988281
1058,95.0,2.0,4.0681833373872855,0.8969298245614035,114.0416488647461
1059,95.0,3.0,3.7938546621968907,0.9049844236760125,113.89923858642578
1060,95.0,4.0,3.9262949960832376,0.9045801526717557,114.06620788574219
1061,95.0,5.0,4.983803877039489,0.8840236686390532,114.01529693603516
1062,95.0,6.0,3.305773776038221,0.9020408163265307,113.90640258789062
1063,95.0,7.0,3.198690863228016,0.9140794223826715,113.88772583007812
1064,95.0,8.0,3.105561735417522,0.9141184124918673,113.9393081665039
1065,95.0,9.0,4.408867151723743,0.8870056497175142,114.07440185546875
1066,95,g,4.36005860253904,0.898,114.06199645996094
1067,96.0,0.0,4.015297973537833,0.8962336664104535,114.01021575927734
1068,96.0,1.0,6.612488664899554,0.8591836734693877,113.99506378173828
1069,96.0,2.0,3.961056159253706,0.8969298245614035,114.02519226074219
1070,96.0,3.0,3.8718678954977115,0.9010903426791277,113.8880615234375
1071,96.0,4.0,4.059079825423146,0.8969465648854962,114.04756164550781
1072,96.0,5.0,4.536007163369444,0.8923076923076924,114.002197265625
1073,96.0,6.0,3.2977660902197066,0.9034013605442177,113.88688659667969
1074,96.0,7.0,3.108743652915212,0.911913357400722,113.92504119873047
