,epoch5
549,0.053758077
550,0.17160022
551,0.08019237
552,0.25690657
553,0.092650026
554,-0.3914843
555,-0.41062412
556,-0.33792922
557,0.054074056
558,-0.31869167
559,-0.15765473
560,0.35599062
561,0.2917852
562,0.3049072
563,-0.10688818
564,-0.1782009
565,-0.15152687
566,-0.11479555
567,-0.12571865
568,0.042861387
569,0.15374938
570,0.4068052
571,0.3155325
572,-0.18309517
573,-0.23472899
574,-0.10349951
575,-0.011513247
576,-0.3628234
577,-0.32899606
578,0.15105107
579,0.21416494
580,0.031254686
581,0.12184509
582,0.06647752
583,0.060871042
584,-0.110289544
585,-0.04584668
586,0.033828035
587,-0.023066927
588,-0.089742295
589,0.025205404
590,0.105942264
591,0.060006037
592,0.09040095
593,-0.09004382
594,-0.04503321
595,-0.107156254
596,0.035239536
597,-0.088126004
598,0.129188
599,0.05406801
600,0.0696653
601,0.02400652
602,-0.14089088
603,-0.027486607
604,0.081277356
605,-0.038438216
606,-0.070289955
607,0.016849464
608,0.19792944
609,0.22353312
610,0.14589348
611,-0.032882564
612,-0.1209557
613,-0.285632
614,0.12543389
615,-0.15727833
616,0.08766554
617,0.09507901
618,0.073848784
619,0.07954846
620,0.02771619
621,-0.062764086
622,0.09929778
623,0.020989763
624,0.03195734
625,-0.20007572
626,-0.10212908
627,-0.059444252
628,-0.07354872
629,0.09503701
630,-0.18765311
631,-0.26438662
632,0.15521835
633,0.083412945
634,0.026676025
635,0.13896015
636,0.036879223
637,0.14770229
638,0.021095674
639,-0.0014530238
640,0.011717075
641,0.09917735
642,0.08041429
643,0.14729066
644,0.19611233
645,0.28047168
646,0.03734071
647,0.047909763
648,-0.103783816
649,-0.18127124
650,0.08057013
651,-0.036948614
652,-0.045580693
653,0.24235909
654,0.033129923
655,-0.07829065
656,0.17408636
657,0.14200774
658,0.14225976
659,0.14942962
660,0.081191
661,0.044896685
662,-0.09713159
663,-0.17786515
664,-0.3044986
665,0.15510257
666,-0.041181583
667,0.22383144
668,-0.027730696
669,0.106076665
670,0.050167833
671,-0.15961044
672,-0.38184106
673,-0.42197713
674,0.036772266
675,0.046003792
676,0.110801145
677,0.22359174
678,0.18006796
679,0.07436558
680,-0.048956215
681,-0.23062591
682,-0.3443112
683,0.127386
684,0.014988498
685,0.14793906
686,0.3261574
687,0.36382377
688,0.47950923
689,0.11863412
690,-0.09436644
691,-0.42958522
692,0.14228073
693,0.06203238
694,0.061341897
695,0.07071196
696,-0.0055956272
697,-0.2360068
698,0.098795876
699,0.015153634
700,-0.25517833
701,0.06606384
702,0.071995914
703,0.3290862
704,0.019104471
705,0.07711311
706,0.1582561
707,-0.23332787
708,-0.19360827
709,-0.3844646
710,0.15585506
711,0.20652111
712,0.27427658
713,-0.056875482
714,0.06777135
715,0.12905511
716,-0.01664318
717,-0.24593343
718,-0.17340402
719,-0.042450234
720,0.05130677
721,-0.0111992685
722,0.121093966
723,0.1427998
724,0.19467896
725,-0.1189447
726,-0.24831894
727,-0.17205893
728,0.006158217
729,0.10406499
730,0.17902483
731,0.026662897
732,0.05549939
733,0.15577866
734,0.11101451
735,0.0599952
736,0.118993856
737,-0.062045034
738,0.16895962
739,0.28035486
740,0.044199847
741,-0.0118707605
742,-0.053190853
743,0.10973969
744,0.12858227
745,0.053408798
746,0.062222607
747,0.06489149
748,0.24827315
749,-0.019102318
750,0.18960208
751,0.054132536
752,0.028914286
753,0.1661573
754,0.16946463
755,-0.078061916
756,-0.050543994
757,0.07361998
758,-0.0641973
759,-0.07568096
760,0.1104491
761,-0.15914294
762,0.006807734
763,0.11308569
764,0.14627945
765,0.03114256
766,0.002426106
767,-0.098159224
768,0.06678472
769,0.11607097
770,-0.25033665
771,0.2413324
772,0.2584219
773,0.18736197
774,0.12038163
775,-0.112059355
776,0.123685084
777,0.046747874
778,-0.016951056
779,-0.06302404
780,0.13963196
781,0.051829025
782,0.13737139
783,0.15065214
784,0.100347996
785,-0.00051026884
786,-0.1266603
787,-0.03974563
788,0.08798552
789,0.074696064
790,0.095153436
791,0.2286873
792,0.037978914
793,0.101021364
794,0.2682929
795,0.21542017
796,0.008718066
797,0.040732246
798,0.12423853
799,-0.17185025
800,-0.022568932
801,-0.041511092
802,0.04346354
