,vec1,vec2
145,-0.28876203,-0.19330917
146,-0.07513667,-0.27126008
147,-0.3633551,-0.18750739
148,-0.30643788,-0.30253884
149,0.037040405,0.13473779
150,-0.08838888,0.056449696
151,0.02034188,-0.12735625
152,-0.013679989,-0.03130801
153,-0.17759702,-0.22289076
154,-0.21410069,-0.13238962
155,0.09007914,0.13229384
156,-0.023554303,0.13031237
157,-0.07874092,-0.26364577
158,0.11703569,0.18580917
159,-0.15410993,-0.17063466
160,-0.17509459,-0.14474054
161,0.04634258,-0.18361568
162,-0.1082009,-0.065353334
163,0.060062494,-0.025087345
164,0.06366269,0.066152886
165,0.08576077,0.12618385
166,-0.021842165,0.042037066
167,-0.10575148,0.023016237
168,0.019898817,0.115778156
169,-0.14300278,-0.10183432
170,0.25052255,0.0587814
171,-0.23783371,-0.1663323
172,-0.02669093,0.048256785
173,0.24486208,0.22331661
174,-0.07261523,-0.1169757
175,-0.35017425,-0.35823038
176,0.06317467,0.10683882
177,-0.1703952,0.017964542
178,-0.15912455,-0.03153584
179,-0.11802468,-0.10131921
180,-0.29400864,-0.2172286
181,0.09510664,0.21748218
182,0.20192897,0.31725958
183,-0.03697504,0.04293441
184,-0.08574706,-0.10622981
185,0.04098755,0.21124724
186,0.042188227,0.015473966
187,-0.23421815,-0.2610442
188,0.21983698,0.3102016
189,-0.12940452,-0.2671163
190,-0.5265636,-0.371736
191,0.22722964,0.2252697
192,0.061121985,0.114566416
193,-0.10826757,-0.2473996
194,0.49000466,0.4945161
195,0.057407983,0.20725033
196,0.03087835,-0.04210367
197,-0.061773665,-0.0443142
198,0.0060201734,-0.0051760077
199,0.12152666,0.09302373
200,0.075254306,0.13040598
201,0.067589186,-0.010548472
202,-0.14284965,-0.20869939
203,0.1317177,0.17308518
204,0.28949556,0.275814
205,-0.0001769613,0.020412726
206,0.13063851,0.0892448
207,0.098712504,0.16726366
208,-0.07636352,-0.15869242
209,0.17546469,0.22954834
210,0.05031395,0.17856866
211,-0.11194632,-0.18227342
212,0.15817559,0.12650111
213,0.19289634,0.077747345
214,0.011242136,0.020451091
215,-0.18141595,-0.1469737
216,-0.28435978,-0.23327023
217,0.004870685,-0.0191977
218,0.08880967,0.2234849
219,-0.20079882,-0.22259866
220,-0.18709388,-0.27952194
221,0.16418333,0.044320486
222,0.12475184,0.10408167
223,-0.20736769,-0.2674634
224,0.43685788,0.30873337
225,-0.16880707,-0.010203831
226,-0.24011818,-0.18180883
227,0.25832358,0.077984475
228,-0.0965944,-0.11973641
229,-0.22267431,-0.3501178
230,0.26431048,0.09356629
231,-0.2667489,-0.2940873
232,-0.068026625,-0.089104936
233,0.26704025,0.3941137
234,0.018267084,-0.04376557
235,-0.10245819,-0.09510026
236,0.16637535,0.15855709
237,-0.19458482,-0.37812832
238,-0.12263377,-0.032933906
239,-0.0034717098,-0.119040966
240,-0.19284195,-0.3350641
241,-0.17226936,-0.25280178
242,0.15077755,0.3331706
243,0.08530193,0.09127595
244,0.06490493,0.05452734
245,0.33266425,0.13953221
246,0.026921779,0.0026560724
247,-0.17399606,-0.23718917
248,-0.018868547,-0.12069571
249,-0.20642059,-0.07098001
250,-0.038344733,-0.1414044
251,0.09034358,0.20470986
252,0.35068056,0.30105543
253,-0.058428265,0.122424714
254,0.26134554,0.24125102
255,0.23523593,0.12149633
256,-0.008223638,0.12103536
257,0.19302316,0.28991306
258,0.101314574,0.12007619
259,-0.0097111985,-0.035055228
260,-0.09684117,-0.14189982
261,0.066933624,0.043064512
262,-0.18796554,-0.119100586
263,0.32045352,0.3756276
264,-0.0019507408,0.09943213
265,-0.15427974,-0.06583785
266,0.13993214,0.17235892
267,-0.077537075,0.06083461
268,-0.06770452,-0.17863885
269,0.35677403,0.30480954
270,-0.10038888,-0.074247874
271,-0.113858886,-0.12188684
272,0.2864062,0.22601652
273,-0.101799205,-0.05952251
274,-0.046662934,-0.07280195
275,-0.01942493,-0.025720045
276,-0.044591002,0.069124885
277,0.11652349,0.047818705
278,0.28720638,0.198077
279,-0.18565944,-0.09475728
280,-0.012736749,-0.14141434
281,0.043171898,0.20437828
282,-0.17719166,-0.15386054
283,-0.06421621,-0.10570219
284,-0.021818344,-0.103905216
285,-0.007455975,-0.09744732
286,0.062290117,-0.0069885943
287,0.24686697,0.08801341
288,-0.12719747,-0.15489522
289,-0.087306455,0.02645966
290,0.019560128,-0.12828155
291,-0.15437835,-0.36914086
292,0.010531917,0.094605416
293,-0.20828992,-0.19735137
294,-0.19827807,-0.14696291
295,0.2619521,0.29383525
296,-0.07041443,-0.087838836
297,-0.06294476,0.052722905
